"Id" "parto" "ap" "cr" "cc" "ppd" "ano" "epoca" "edad"
"265" "2676" 5 8 "CR3" 3.5 9.71 2004 "C" 105
"266" "2681" 3 6 "CR3" 3.5 9.76 2002 "A" 75
"267" "2681" 4 7 "CR3" 3.5 12.99 2003 "B" 90
"268" "2681" 5 8 "CR3" 3.25 11.28 2004 "B" 102
"269" "2681" 6 9 "CR3" 3.125 9.64 2005 "B" 114
"270" "2681" 7 10 "CR3" 3.25 10.25 2006 "B" 127
"271" "2681" 8 11 "CR3" 3.25 8.3 2007 "B" 139
"272" "2683" 4 7 "CR4" 3.375 10.61 2003 "B" 91
"273" "2685" 4 6 "CR3" 3.5 12.52 2002 "B" 79
"274" "2685" 5 7 "CR3" 3.25 9.82 2003 "B" 90
"275" "2685" 6 8 "CR3" 2 7.53 2004 "B" 102
"276" "2701" 3 7 "CR4" 3.5 9.46 2002 "D" 84
"277" "2704" 3 6 "CR4" 3.5 10.29 2002 "D" 83
"278" "2704" 4 7 "CR4" 3.5 10.27 2003 "D" 94
"279" "2704" 5 8 "CR4" 3.5 10.32 2004 "D" 106
"280" "2707" 4 7 "CR4" 3.5 10.68 2003 "B" 88
"281" "2707" 5 8 "CR4" 3.5 10.19 2004 "B" 101
"282" "2711" 3 6 "CR4" 3 10.64 2002 "D" 81
"283" "2713" 3 7 "CR4" 3.625 10.72 2003 "B" 88
"284" "2713" 4 8 "CR4" 3.375 13.89 2004 "B" 102
"285" "2717" 4 6 "CR4" 3 9.27 2002 "B" 77
"286" "2717" 5 7 "CR4" 3.5 10.7 2003 "B" 88
"287" "2717" 6 8 "CR4" 3.375 9.08 2004 "B" 99
"288" "2717" 7 9 "CR4" 3.125 8.29 2005 "D" 118
"289" "2719" 4 6 "CR4" 3.5 11.22 2002 "C" 78
"290" "2719" 5 7 "CR4" 3.375 9.02 2003 "B" 90
"291" "2719" 6 8 "CR4" 3.5 8.67 2004 "C" 103
"292" "2727" 4 6 "CR4" 3.5 9.58 2002 "D" 82
"293" "2727" 5 7 "CR4" 3.625 11.04 2003 "D" 94
"294" "2727" 6 8 "CR4" 3.583333 7.9 2004 "D" 106
"295" "2727" 7 9 "CR4" 3.375 9.41 2005 "D" 117
"296" "2727" 8 10 "CR4" 2.916667 9.46 2006 "D" 131
"297" "2727" 9 11 "CR4" 2.916667 7.17 2007 "D" 142
"298" "2728" 3 6 "CR4" 3.75 10.48 2002 "A" 73
"299" "2728" 4 7 "CR4" 3.875 13.29 2003 "B" 87
"300" "2728" 5 8 "CR4" 3.875 12.62 2004 "B" 98
"301" "2728" 6 9 "CR4" 3.625 12.86 2005 "A" 110
"302" "2731" 4 7 "CR4" 3.25 9.52 2003 "A" 85
"303" "2731" 5 8 "CR4" 3.375 11.11 2004 "B" 99
"304" "2732" 3 6 "CR3" 3.25 10.57 2002 "D" 82
"305" "2732" 4 8 "CR3" 3.375 11.43 2004 "A" 96
"306" "2732" 5 9 "CR3" 2.875 9.91 2005 "A" 108
"307" "2732" 6 10 "CR3" 3.125 8.32 2006 "A" 121
"308" "2732" 7 11 "CR3" 2.5 8.65 2007 "B" 136
"309" "2737" 3 6 "CR4" 3.25 9.15 2002 "C" 79
"310" "2748" 4 7 "CR4" 3.625 10.52 2003 "A" 84
"311" "2750" 3 6 "CR3" 3.5 10.58 2002 "D" 79
"312" "2750" 4 7 "CR3" 3.625 13.63 2003 "D" 93
"313" "2750" 5 9 "CR3" 3.5 12.13 2005 "A" 108
"314" "2750" 6 10 "CR3" 3.75 10.96 2006 "A" 120
"315" "2750" 7 11 "CR3" 3.75 10.1 2007 "A" 132
"316" "2750" 8 12 "CR3" 3.666667 9.01 2008 "A" 144
"317" "2753" 4 6 "CR4" 3.5 9.38 2002 "D" 80
"318" "2758" 3 6 "CR4" 3.25 12.9 2002 "B" 73
"319" "2758" 4 7 "CR4" 3.5 12.39 2003 "B" 85
"320" "2758" 5 8 "CR4" 3.625 13.19 2004 "B" 98
"321" "2758" 6 9 "CR4" 3.416667 12.14 2005 "B" 111
"322" "2758" 7 10 "CR4" 3.25 11.73 2006 "B" 123
"323" "2761" 3 6 "CR3" 3.5 9.37 2002 "C" 74
"324" "2761" 4 7 "CR3" 3.75 11.42 2003 "C" 87
"325" "2761" 5 8 "CR3" 3.625 10.62 2004 "C" 99
"326" "2761" 6 9 "CR3" 2.833333 8.08 2005 "B" 110
"327" "2762" 3 6 "CR4" 3.25 10.57 2002 "D" 79
"328" "2762" 4 7 "CR4" 3.5 10.09 2003 "D" 91
"329" "2769" 3 6 "CR4" 3.25 13.99 2003 "B" 83
"330" "2769" 4 7 "CR4" 2.5 10.68 2004 "B" 95
"331" "2771" 3 6 "CR4" 3.375 9.79 2003 "A" 82
"332" "2771" 4 8 "CR4" 3.125 11.48 2004 "B" 97
"333" "2771" 5 9 "CR4" 2.083333 9.63 2005 "D" 113
"334" "2772" 3 6 "CR4" 3.25 11.47 2002 "D" 78
"335" "2774" 3 6 "CR4" 3 9.81 2002 "C" 76
"336" "2774" 4 7 "CR4" 3.5 11.99 2003 "C" 88
"337" "2774" 5 8 "CR4" 3.375 10.55 2004 "C" 99
"338" "2774" 6 9 "CR4" 3.166667 9.69 2005 "C" 111
"339" "2777" 3 6 "CR4" 3.5 10.1 2002 "C" 74
"340" "2777" 4 7 "CR4" 3.5 10.88 2003 "C" 85
"342" "2788" 4 6 "CR4" 3.5 11.87 2003 "A" 81
"343" "2788" 5 7 "CR4" 3.625 13.11 2004 "B" 94
"344" "2788" 6 8 "CR4" 3 10 2005 "A" 105
"345" "2788" 7 10 "CR4" 3.166667 9.27 2006 "C" 121
"346" "2788" 8 11 "CR4" 3.083333 9.41 2007 "C" 134
"347" "2788" 9 12 "CR4" 3.25 9.74 2008 "D" 148
"341" "2788" 10 13 "CR4" 3.333333 8.34 2010 "B" 166
"348" "2790" 3 6 "CR4" 3.375 9.67 2003 "B" 82
"349" "2790" 4 7 "CR4" 2.875 11.52 2004 "B" 93
"350" "2793" 3 6 "CR4" 3.75 9.36 2002 "C" 73
"351" "2794" 3 6 "CR4" 3.5 13.59 2002 "C" 72
"352" "2794" 4 6 "CR4" 3.5 12.54 2003 "B" 83
"353" "2795" 3 6 "CR4" 3.5 13.41 2003 "A" 80
"354" "2795" 4 7 "CR4" 3.625 15.62 2004 "B" 93
"355" "2795" 5 8 "CR4" 3.3125 15.09 2005 "A" 104
"356" "2795" 6 9 "CR4" 3.5 12.4 2006 "A" 116
"357" "2795" 7 10 "CR4" 3.5 13.41 2007 "A" 127
"358" "2795" 8 11 "CR4" 3.5 12.19 2008 "A" 138
"359" "2795" 9 13 "CR4" 3.25 13.19 2009 "C" 156
"362" "2797" 3 6 "CR4" 3.5 12.23 2002 "C" 73
"363" "2797" 4 7 "CR4" 3.625 11.81 2003 "C" 84
"364" "2797" 5 8 "CR4" 3.75 12.84 2004 "C" 96
"365" "2797" 6 9 "CR4" 3.5 11.78 2005 "C" 108
"366" "2797" 7 9 "CR4" 3.25 10.82 2006 "B" 119
"367" "2797" 8 10 "CR4" 3.416667 10.82 2007 "C" 131
"368" "2797" 9 12 "CR4" 3.375 10.86 2008 "D" 147
"360" "2797" 10 13 "CR4" 3.5 12.6 2010 "A" 161
"361" "2797" 11 14 "CR4" 2.8 9.7 2011 "B" 176
"369" "2799" 3 6 "CR4" 3.5 14.61 2003 "A" 79
"370" "2799" 4 7 "CR4" 3.625 15.28 2004 "B" 92
"371" "2799" 5 8 "CR4" 3.25 13.17 2005 "B" 104
"372" "2799" 6 9 "CR4" 3.5 11.44 2006 "B" 116
"373" "2799" 7 10 "CR4" 3.416667 12.42 2007 "B" 128
"374" "2799" 8 11 "CR4" 3.375 11.21 2008 "B" 142
"375" "2799" 9 13 "CR4" 3.083333 12.9 2009 "C" 156
"376" "2801" 3 5 "CR4" 3.25 11.17 2002 "B" 69
"377" "2801" 4 6 "CR4" 3.75 10.28 2003 "B" 82
"378" "2801" 5 7 "CR4" 3.625 11.58 2004 "B" 93
"379" "2804" 2 5 "CR3" 3.5 9.59 2001 "D" 62
"380" "2806" 3 5 "CR4" 3.25 15.91 2002 "B" 70
"381" "2806" 4 6 "CR4" 3.5 14.62 2003 "B" 82
"382" "2806" 5 7 "CR4" 3.25 16.26 2004 "C" 95
"383" "2806" 6 9 "CR4" 3 13.53 2005 "C" 108
"384" "2806" 7 10 "CR4" 3.25 14.95 2007 "A" 125
"385" "2806" 8 11 "CR4" 3.5 12.2 2008 "A" 137
"386" "2806" 9 12 "CR4" 3 14.26 2009 "C" 155
"387" "2808" 3 6 "CR4" 3.75 8.59 2003 "A" 79
"389" "2809" 3 6 "CR4" 3.5 11.19 2002 "C" 73
"390" "2809" 4 7 "CR4" 3.5 10.61 2003 "C" 84
"391" "2809" 5 8 "CR4" 3.625 9.32 2004 "C" 96
"392" "2809" 6 9 "CR4" 3.333333 9.91 2005 "C" 108
"393" "2809" 7 9 "CR4" 3.333333 9.73 2006 "C" 119
"394" "2809" 8 10 "CR4" 3.5 8.28 2007 "B" 130
"395" "2809" 9 12 "CR4" 3.5 11.16 2009 "A" 150
